1,1,1,2
1,2,1,3
2,1,1,3
2,2,1,4
1,3,1,4
2,3,1,5
3,1,1,4
3,2,1,5
3,3,1,6
4,1,1,5
4,2,1,6
4,3,1,7
4,4,1,8
1,4,1,5
2,4,1,6
3,4,1,7
5,6,1,11
5,3,1,8
3,5,1,8
3,8,1,11
8,4,1,12
6,5,1,11
6,1,1,7
1,6,1,7
2,8,1,10
3,8,1,11
4,7,1,11
7,3,1,10
6,2,1,8
6,2,1,8
5,7,1,12
9,8,1,17
4,4,1,8
9,6,1,15
9,2,1,11
7,7,1,13
4,0,1,5
5,4,1,9
5,8,1,14
1,8,1,8
7,9,1,16
3,5,1,8
6,3,1,9
1,0,1,1
10,4,1,14
9,1,1,10
6,5,1,11
6,8,1,14
6,4,1,10
9,6,1,16
8,7,1,15
8,7,1,16
4,0,1,4
6,2,1,8
4,0,1,4
7,9,1,16
4,9,1,13
5,2,1,7
0,3,1,4
8,8,1,16
10,6,1,16
1,5,1,6
6,3,1,9
3,10,1,13
